id,specilization_name,college_dunia_link,target_study_link,careers_360_link,course_id,status,is_deleted,created_on,created_by,updated_by,updated_on
4131,MACHINE DESIGN,https://collegedunia.com/courses/master-of-technology-mtech-machine-design,https://collegedunia.com/courses/master-of-technology-mtech-machine-design,https://collegedunia.com/courses/master-of-technology-mtech-machine-design,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4132,Economics,https://targetstudy.com/colleges/bs-economics-degree-colleges-in-india.html,https://targetstudy.com/colleges/bs-economics-degree-colleges-in-india.html,https://targetstudy.com/colleges/bs-economics-degree-colleges-in-india.html,268,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4133,Medical Laboratory Technology,https://collegedunia.com/courses/bachelor-in-medical-laboratory-technology-bmlt,https://collegedunia.com/courses/bachelor-in-medical-laboratory-technology-bmlt,https://collegedunia.com/courses/bachelor-in-medical-laboratory-technology-bmlt,269,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4134,Medical Laboratory Technology,https://collegedunia.com/courses/diploma-in-medical-laboratory-technology-dmlt,https://collegedunia.com/courses/diploma-in-medical-laboratory-technology-dmlt,https://collegedunia.com/courses/diploma-in-medical-laboratory-technology-dmlt,270,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4135,Physiotherapy,"https://www.careers360.com/courses/bpt-bachelor-of-physiotherapy#:~:text=What%20is%20Bachelor%20of%20Physiotherapy,complete%20a%20six%20months%20internship.","https://www.careers360.com/courses/bpt-bachelor-of-physiotherapy#:~:text=What%20is%20Bachelor%20of%20Physiotherapy,complete%20a%20six%20months%20internship.","https://www.careers360.com/courses/bpt-bachelor-of-physiotherapy#:~:text=What%20is%20Bachelor%20of%20Physiotherapy,complete%20a%20six%20months%20internship.",271,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4136,Physics,https://university.careers360.com/colleges/list-of-dual-degree-in-physics-universities-in-india,https://university.careers360.com/colleges/list-of-dual-degree-in-physics-universities-in-india,https://university.careers360.com/colleges/list-of-dual-degree-in-physics-universities-in-india,267,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4137,Chemistry,https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur/msc-chemistry-integrated-course,https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur/msc-chemistry-integrated-course,https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur/msc-chemistry-integrated-course,267,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4138,Mathematics,https://www.careers360.com/question-best-colleges-offering-integrated-msc-mathematics,https://www.careers360.com/question-best-colleges-offering-integrated-msc-mathematics,https://www.careers360.com/question-best-colleges-offering-integrated-msc-mathematics,447,Active,No,2026-02-09 15:07:11,1,1,2026-02-09 15:07:11
4139,CIVIL ENGINEERING,https://www.careers360.com/courses/b-tech-dual-degree,https://www.careers360.com/courses/b-tech-dual-degree,https://www.careers360.com/courses/b-tech-dual-degree,272,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4140,ELECTRICAL ENGINEERING,https://www.careers360.com/courses/b-tech-dual-degree,https://www.careers360.com/courses/b-tech-dual-degree,https://www.careers360.com/courses/b-tech-dual-degree,272,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4141,ELECTRICAL ENGINEERING,https://collegedunia.com/courses/master-of-technology-mtech-electrical-engineering,https://collegedunia.com/courses/master-of-technology-mtech-electrical-engineering,https://collegedunia.com/courses/master-of-technology-mtech-electrical-engineering,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4142,MECHANICAL ENGINEERING,https://collegedunia.com/courses/master-of-technology-mtech-mechanical-engineering,https://collegedunia.com/courses/master-of-technology-mtech-mechanical-engineering,https://collegedunia.com/courses/master-of-technology-mtech-mechanical-engineering,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4143,METALLURGICAL AND MATERIALS ENGINEERING,https://engineering.careers360.com/colleges/list-of-me-mtech-in-metallurgical-and-materials-engineering-colleges-in-india,https://engineering.careers360.com/colleges/list-of-me-mtech-in-metallurgical-and-materials-engineering-colleges-in-india,https://engineering.careers360.com/colleges/list-of-me-mtech-in-metallurgical-and-materials-engineering-colleges-in-india,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4144,METALLURGICAL AND MATERIALS ENGINEERING,https://engineering.careers360.com/colleges/list-of-phd-in-metallurgical-and-materials-engineering-colleges-in-india,https://engineering.careers360.com/colleges/list-of-phd-in-metallurgical-and-materials-engineering-colleges-in-india,https://engineering.careers360.com/colleges/list-of-phd-in-metallurgical-and-materials-engineering-colleges-in-india,57,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4145,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,https://collegedunia.com/courses/phd-electronics-and-telecommunication,https://collegedunia.com/courses/phd-electronics-and-telecommunication,https://collegedunia.com/courses/phd-electronics-and-telecommunication,57,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4146,ELECTRICAL AND ELECTRONICS ENGINEERING,https://collegedunia.com/courses/phd-electrical-and-electronics-engineering,https://collegedunia.com/courses/phd-electrical-and-electronics-engineering,https://collegedunia.com/courses/phd-electrical-and-electronics-engineering,57,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4147,Humanities,https://collegedunia.com/courses/phd-humanities,https://collegedunia.com/courses/phd-humanities,https://collegedunia.com/courses/phd-humanities,57,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4148,Computer Science And Engineering,https://collegedunia.com/courses/master-of-engineering-me-computer-science-and-engineering,https://collegedunia.com/courses/master-of-engineering-me-computer-science-and-engineering,https://collegedunia.com/courses/master-of-engineering-me-computer-science-and-engineering,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4149,POWER SYSTEMS ENGINEERING,https://collegedunia.com/courses/master-of-technology-mtech-power-system-engineering,https://collegedunia.com/courses/master-of-technology-mtech-power-system-engineering,https://collegedunia.com/courses/master-of-technology-mtech-power-system-engineering,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4150,BUSINESS ANALYTICS,https://targetstudy.com/courses/bcom-business-analytics.html,https://targetstudy.com/courses/bcom-business-analytics.html,https://targetstudy.com/courses/bcom-business-analytics.html,1,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4151,General,https://collegedunia.com/courses/bachelor-of-commerce-bcom,https://collegedunia.com/courses/bachelor-of-commerce-bcom,https://collegedunia.com/courses/bachelor-of-commerce-bcom,1,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4152,Digital Marketing,https://collegedunia.com/courses/bachelor-of-business-administration-bba-digital-marketing,https://collegedunia.com/courses/bachelor-of-business-administration-bba-digital-marketing,https://collegedunia.com/courses/bachelor-of-business-administration-bba-digital-marketing,9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4153,Sports Management,https://collegedunia.com/courses/bachelor-of-business-administration-bba-sports-management,https://collegedunia.com/courses/bachelor-of-business-administration-bba-sports-management,https://collegedunia.com/courses/bachelor-of-business-administration-bba-sports-management,292,Active,No,2026-02-06 18:04:50,1,1,2026-04-01 14:33:10
4154,Logistics And Shipping Management,https://collegedunia.com/courses/bachelor-of-business-administration-bba-logistics-management,https://collegedunia.com/courses/bachelor-of-business-administration-bba-logistics-management,https://collegedunia.com/courses/bachelor-of-business-administration-bba-logistics-management,9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4155,Fintech and Digital Banking,https://www.careers360.com/university/medhavi-skills-university-sikkim/bba-fintech-and-digital-banking-course,https://www.careers360.com/university/medhavi-skills-university-sikkim/bba-fintech-and-digital-banking-course,https://www.careers360.com/university/medhavi-skills-university-sikkim/bba-fintech-and-digital-banking-course,9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4156,Logistics And Shipping Management,https://collegedunia.com/courses/master-of-business-administration-mba-logistics-and-shipping-management,https://collegedunia.com/courses/master-of-business-administration-mba-logistics-and-shipping-management,https://collegedunia.com/courses/master-of-business-administration-mba-logistics-and-shipping-management,46,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4157,Health Economics And Technology,https://www.careers360.com/university/university-of-glasgow-glasgow/introduction-health-economics-and-health-technology-assessment-certification-course,https://www.careers360.com/university/university-of-glasgow-glasgow/introduction-health-economics-and-health-technology-assessment-certification-course,https://www.careers360.com/university/university-of-glasgow-glasgow/introduction-health-economics-and-health-technology-assessment-certification-course,44,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4158,BUSINESS ADMINISTRATION,https://collegedunia.com/courses/bachelor-of-business-administration-bba,https://collegedunia.com/courses/bachelor-of-business-administration-bba,https://collegedunia.com/courses/bachelor-of-business-administration-bba,9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4159,Journalism and Mass Communication,https://targetstudy.com/colleges/ba-journalism-and-mass-communications-degree-colleges-in-maharashtra.html,https://targetstudy.com/colleges/ba-journalism-and-mass-communications-degree-colleges-in-maharashtra.html,https://targetstudy.com/colleges/ba-journalism-and-mass-communications-degree-colleges-in-maharashtra.html,419,Active,No,2026-02-09 15:07:04,1,1,2026-02-09 15:07:04
4160,Communication Systems Engineering,https://collegedunia.com/courses/master-of-engineering-me-communication-systems,https://collegedunia.com/courses/master-of-engineering-me-communication-systems,https://collegedunia.com/courses/master-of-engineering-me-communication-systems,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4161,POWER ELECTRONICS AND DRIVES,https://collegedunia.com/courses/master-of-engineering-me-power-electronics-and-drives,https://collegedunia.com/courses/master-of-engineering-me-power-electronics-and-drives,https://collegedunia.com/courses/master-of-engineering-me-power-electronics-and-drives,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4162,APPLIED ELECTRONICS,https://collegedunia.com/courses/master-of-engineering-me-applied-electronics,https://collegedunia.com/courses/master-of-engineering-me-applied-electronics,https://collegedunia.com/courses/master-of-engineering-me-applied-electronics,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4163,Public Administration,https://www.collegedekho.com/courses/ba-public-administration,https://www.collegedekho.com/courses/ba-public-administration,https://www.collegedekho.com/courses/ba-public-administration,2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4164,VLSI Design And Embedded System,https://collegedunia.com/courses/master-of-technology-mtech-vlsi-design-and-embedded-system,https://collegedunia.com/courses/master-of-technology-mtech-vlsi-design-and-embedded-system,https://collegedunia.com/courses/master-of-technology-mtech-vlsi-design-and-embedded-system,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4165,Geoinformatics,https://collegedunia.com/courses/master-of-science-msc-geoinformatics,https://collegedunia.com/courses/master-of-science-msc-geoinformatics,https://collegedunia.com/courses/master-of-science-msc-geoinformatics,44,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4166,Food Science And Nutrition,https://collegedunia.com/courses/master-of-science-msc-food-science-and-nutrition,https://collegedunia.com/courses/master-of-science-msc-food-science-and-nutrition,https://collegedunia.com/courses/master-of-science-msc-food-science-and-nutrition,44,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4167,Molecular Medicine,https://collegedunia.com/courses/master-of-science-msc-molecular-medicine,https://collegedunia.com/courses/master-of-science-msc-molecular-medicine,https://collegedunia.com/courses/master-of-science-msc-molecular-medicine,44,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4168,Mobile Pervasive Computing,https://www.careers360.com/colleges/university-college-of-engineering-bharathidasan-institute-of-technology-campus-anna-university-tiruchirappalli/me-pervasive-computi,https://www.careers360.com/colleges/university-college-of-engineering-bharathidasan-institute-of-technology-campus-anna-university-tiruchirappalli/me-pervasive-computi,https://www.careers360.com/colleges/university-college-of-engineering-bharathidasan-institute-of-technology-campus-anna-university-tiruchirappalli/me-pervasive-computi,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4169,Nano Science And Technology,https://collegedunia.com/courses/master-of-technology-mtech-nano-science-and-technology,https://collegedunia.com/courses/master-of-technology-mtech-nano-science-and-technologyhttps://collegedunia.com/courses/master-of-technology-mtech-nano-science-and-technology,https://collegedunia.com/courses/master-of-technology-mtech-nano-science-and-technology,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4170,PHARMACEUTICAL BIOTECHNOLOGY,https://targetstudy.com/courses/mtech-pharmaceutical-biotechnology.html,https://targetstudy.com/courses/mtech-pharmaceutical-biotechnology.html,https://targetstudy.com/courses/mtech-pharmaceutical-biotechnology.html,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4171,Power System And Automation,https://targetstudy.com/courses/mtech-power-system-automation.html,https://targetstudy.com/courses/mtech-power-system-automation.html,https://targetstudy.com/courses/mtech-power-system-automation.html,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4172,Power Electronics,https://collegedunia.com/courses/master-of-technology-mtech-power-electronics,https://collegedunia.com/courses/master-of-technology-mtech-power-electronics,https://collegedunia.com/courses/master-of-technology-mtech-power-electronics,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4173,Artificial Intelligence,https://collegedunia.com/courses/master-of-technology-mtech-artificial-intelligence,https://collegedunia.com/courses/master-of-technology-mtech-artificial-intelligence,https://collegedunia.com/courses/master-of-technology-mtech-artificial-intelligence,427,Active,No,2026-02-09 15:07:06,1,1,2026-02-09 15:07:06
4174,Cyber Security,https://collegedunia.com/courses/master-of-technology-mtech-cyber-security,https://collegedunia.com/courses/master-of-technology-mtech-cyber-security,https://collegedunia.com/courses/master-of-technology-mtech-cyber-security,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4175,Advanced Design And Manufacturing,https://collegedunia.com/courses/master-of-technology-mtech-advanced-manufacturing,https://collegedunia.com/courses/master-of-technology-mtech-advanced-manufacturing,https://collegedunia.com/courses/master-of-technology-mtech-advanced-manufacturing,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4176,Communication Engineering and Signal Processing,https://targetstudy.com/courses/mtech-in-communication-and-signal-processing.html,https://targetstudy.com/courses/mtech-in-communication-and-signal-processing.html,https://targetstudy.com/courses/mtech-in-communication-and-signal-processing.html,39,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4177,Hospitality and Tourism,https://collegedunia.com/courses/bachelor-of-business-administration-bba-hospitality-and-tourism,https://collegedunia.com/courses/bachelor-of-business-administration-bba-hospitality-and-tourism,https://collegedunia.com/courses/bachelor-of-business-administration-bba-hospitality-and-tourism,9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4178,Urdu,https://collegedunia.com/courses/bachelor-of-arts-ba-urdu,https://collegedunia.com/courses/bachelor-of-arts-ba-urdu,https://collegedunia.com/courses/bachelor-of-arts-ba-urdu,2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4179,Hindi Literature,https://collegedunia.com/courses/bachelor-of-arts-ba-hindi-literature,https://collegedunia.com/courses/bachelor-of-arts-ba-hindi-literature,https://collegedunia.com/courses/bachelor-of-arts-ba-hindi-literature,2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4180,Arts Multi Media and Mass Communication,https://www.careers360.com/colleges/vande-mataram-degree-college-dombivli/bammc-course,https://www.careers360.com/colleges/vande-mataram-degree-college-dombivli/bammc-course,https://www.careers360.com/colleges/vande-mataram-degree-college-dombivli/bammc-course,273,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4181,Cost Accounting,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,72,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4182,Taxation,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,342,Active,No,2026-02-09 15:06:53,1,1,2026-02-09 15:06:53
4183,Economics,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,72,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4184,Business Law,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,https://finance.careers360.com/articles/baf-course-scope,33,Active,No,2026-02-06 18:04:56,1,1,2026-04-01 17:39:05
4185,Technical Writing in Business Management,https://www.careers360.com/colleges/symbiosis-center-for-distance-learning-pune/post-graduate-diploma-in-technical-writing-in-business-management-course,https://www.careers360.com/colleges/symbiosis-center-for-distance-learning-pune/post-graduate-diploma-in-technical-writing-in-business-management-course,https://www.careers360.com/colleges/symbiosis-center-for-distance-learning-pune/post-graduate-diploma-in-technical-writing-in-business-management-course,53,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4186,Educational Administration,https://collegeindia.in/list/college/course/pgdea,https://collegeindia.in/list/college/course/pgdea,https://collegeindia.in/list/college/course/pgdea,53,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4187,Instructional Design,https://www.careers360.com/courses/post-graduate-diploma-in-Instructional-designing,https://www.careers360.com/courses/post-graduate-diploma-in-Instructional-designing,https://www.careers360.com/courses/post-graduate-diploma-in-Instructional-designing,53,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4188,School Counselling,https://www.careers360.com/university/sndt-womens-university-mumbai/pg-diploma-in-school-counselling-course,https://www.careers360.com/university/sndt-womens-university-mumbai/pg-diploma-in-school-counselling-course,https://www.careers360.com/university/sndt-womens-university-mumbai/pg-diploma-in-school-counselling-course,53,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
